team,facebook_url,followers,retrieved_at
adelaidecrows,https://www.facebook.com/adelaidecrows,295K,2025-05-14T02:15:09.742745
brisbanelions,https://www.facebook.com/brisbanelions,236K,2025-05-14T02:15:09.742745
carltonfc,https://www.facebook.com/OfficialCarltonFC,323K,2025-05-14T02:15:09.742745
collingwoodfc,https://www.facebook.com/CollingwoodFC,425K,2025-05-14T02:15:09.742745
essendonfc,https://www.facebook.com/EssendonFC,358K,2025-05-14T02:15:09.742745
fremantle,https://www.facebook.com/freodockers,238K,2025-05-14T02:15:09.742745
geelongcats,https://www.facebook.com/geelongcats,254K,2025-05-14T02:15:09.742745
goldcoastsuns,https://www.facebook.com/GoldCoastFC,118K,2025-05-14T02:15:09.742745
gws,https://www.facebook.com/GWSGIANTS,144K,2025-05-14T02:15:09.742745
hawthorn,https://www.facebook.com/HawthornFC,361K,2025-05-14T02:15:09.742745
melbourne,https://www.facebook.com/melbournefc,197K,2025-05-14T02:15:09.742745
northmelbourne,https://www.facebook.com/NMFCOfficial,162K,2025-05-14T02:15:09.742745
portadelaide,https://www.facebook.com/PortAdelaideFC,217K,2025-05-14T02:15:09.742745
richmond,https://www.facebook.com/richmondfc,315K,2025-05-14T02:15:09.742745
stkilda,https://www.facebook.com/stkfc,212K,2025-05-14T02:15:09.742745
sydneyswans,https://www.facebook.com/sydneyswans,283K,2025-05-14T02:15:09.742745
westcoasteagles,https://www.facebook.com/WCEofficial,339K,2025-05-14T02:15:09.742745
westernbulldogs,https://www.facebook.com/westernbulldogs,218K,2025-05-14T02:15:09.742745
